kjønn,utdanning,erfaring,arbeidssted,arbeidssituasjon,fag,lønn,bonus?
mann,3,14,Oslo,konsulent,backend,1550000,Nei
mann,3,14,Oslo,frilans / selvstendig næringsdrivende,backend,2500000,Nei
mann,4,13,Oslo,"in-house, offentlig/kommunal sektor",backend,820000,Nei
mann,3,13,Oslo,"in-house, privat sektor",backend,1155000,Nei
mann,5,13,Oslo,konsulent,backend,1500000,Ja
mann,5,13,Oslo,konsulent,backend,1600000,Nei
mann,5,12,Oslo,"in-house, offentlig/kommunal sektor",backend,960000,Nei
mann,5,12,Oslo,"in-house, privat sektor",backend,1030000,Ja
mann,3,12,Oslo,"in-house, privat sektor",backend,1030000,Nei
mann,5,12,Oslo,konsulent,backend,1050000,Nei
mann,3,12,Oslo,konsulent,backend,1200000,Nei
mann,3,12,Oslo,konsulent,backend,1200000,Nei
mann,5,12,Oslo,"in-house, privat sektor",backend,1245000,Nei
mann,3,12,Oslo,konsulent,backend,1400000,Ja
mann,3,12,Oslo,konsulent,backend,1600000,Nei
mann,6,11,Oslo,"in-house, offentlig/kommunal sektor",backend,900000,Nei
mann,3,11,Oslo,"in-house, privat sektor",backend,1000000,Ja
mann,3,11,Oslo,"in-house, privat sektor",backend,1050000,Ja
mann,3,11,Oslo,konsulent,backend,1100000,Ja
mann,18,11,Oslo,"in-house, privat sektor",backend,1100000,Ja
mann,3,11,Oslo,konsulent,backend,1500000,Ja
kvinne,5,10,Oslo,konsulent,backend,1000000,Ja
mann,5,10,Oslo,"in-house, privat sektor",backend,800000,Ja
mann,3,10,Oslo,"in-house, privat sektor",backend,950000,Nei
mann,3,10,Oslo,"in-house, privat sektor",backend,955000,Nei
mann,5,10,Oslo,konsulent,backend,1000000,Ja
mann,5,10,Oslo,konsulent,backend,1052000,Nei
mann,5,10,Oslo,konsulent,backend,1100000,Nei
mann,3,10,Oslo,"in-house, privat sektor",backend,1200000,Nei
mann,5,10,Oslo,konsulent,backend,1200000,Ja
mann,3,10,Oslo,konsulent,backend,1400000,Ja
mann,5,10,Oslo,konsulent,backend,1400000,Ja
mann,5,9,Oslo,konsulent,backend,882000,Nei
mann,3,9,Oslo,"in-house, privat sektor",backend,885000,Nei
mann,5,9,Oslo,konsulent,backend,960000,Nei
mann,3,9,Oslo,konsulent,backend,1025000,Nei
mann,3,9,Oslo,"in-house, privat sektor",backend,1050000,Ja
mann,5,9,Oslo,konsulent,backend,1100000,Ja
mann,5,9,Oslo,"in-house, privat sektor",backend,1123000,Nei
mann,4,9,Oslo,"in-house, privat sektor",backend,1144000,Ja
kvinne,18,8,Oslo,konsulent,backend,960000,Ja
kvinne,4,8,Oslo,konsulent,backend,1200000,Ja
mann,0,8,Oslo,"in-house, privat sektor",backend,750000,Nei
mann,5,8,Oslo,"in-house, privat sektor",backend,840000,Nei
mann,15,8,Oslo,"in-house, privat sektor",backend,850000,Ja
mann,3,8,Oslo,"in-house, privat sektor",backend,910000,Nei
mann,0,8,Oslo,"in-house, privat sektor",backend,930000,Ja
mann,4,8,Oslo,konsulent,backend,980000,Nei
mann,4,8,Oslo,"in-house, privat sektor",backend,1000000,Nei
mann,5,8,Oslo,"in-house, privat sektor",backend,1000000,Ja
mann,5,8,Oslo,konsulent,backend,1000000,Ja
mann,5,8,Oslo,konsulent,backend,1030000,Ja
mann,3,8,Oslo,"in-house, privat sektor",backend,1100000,Nei
mann,5,8,Oslo,konsulent,backend,1100000,Ja
mann,5,8,Oslo,konsulent,backend,1100000,Nei
mann,5,8,Oslo,konsulent,backend,1200000,Nei
mann,3,8,Oslo,konsulent,backend,1200000,Nei
mann,5,8,Oslo,konsulent,backend,1200000,Nei
kvinne,5,7,Oslo,"in-house, privat sektor",backend,790000,Nei
kvinne,6,7,Oslo,konsulent,backend,930000,Ja
kvinne,5,7,Oslo,konsulent,backend,1010000,Nei
mann,3,7,Oslo,"in-house, offentlig/kommunal sektor",backend,770000,Nei
mann,3,7,Oslo,"in-house, privat sektor",backend,795000,Nei
mann,4,7,Oslo,"in-house, privat sektor",backend,830000,Nei
mann,5,7,Oslo,"in-house, privat sektor",backend,850000,Ja
mann,3,7,Oslo,"in-house, privat sektor",backend,900000,Ja
mann,5,7,Oslo,"in-house, privat sektor",backend,900000,Nei
mann,3,7,Oslo,konsulent,backend,940000,Nei
mann,5,7,Oslo,konsulent,backend,1037000,Nei
mann,5,7,Oslo,"in-house, privat sektor",backend,1050000,Ja
mann,5,7,Oslo,konsulent,backend,1200000,Nei
kvinne,3,6,Oslo,"in-house, privat sektor",backend,970000,Nei
mann,3,6,Oslo,"in-house, privat sektor",backend,703500,Nei
mann,3,6,Oslo,"in-house, privat sektor",backend,750000,Ja
mann,3,6,Oslo,"in-house, privat sektor",backend,787000,Nei
mann,5,6,Oslo,"in-house, offentlig/kommunal sektor",backend,800000,Ja
mann,3,6,Oslo,"in-house, privat sektor",backend,875000,Nei
mann,3,6,Oslo,"in-house, privat sektor",backend,880000,Nei
mann,0,6,Oslo,"in-house, offentlig/kommunal sektor",backend,900000,Nei
mann,5,6,Oslo,konsulent,backend,980000,Nei
mann,3,6,Oslo,konsulent,backend,1000000,Ja
mann,5,6,Oslo,konsulent,backend,1000000,Nei
mann,5,6,Oslo,konsulent,backend,1020000,Nei
mann,3,6,Oslo,konsulent,backend,1100000,Nei
mann,4,6,Oslo,"in-house, privat sektor",backend,1200000,Ja
mann,3,6,Oslo,konsulent,backend,1400000,Ja
mann,3,6,Oslo,frilans / selvstendig næringsdrivende,backend,1700000,Ja
annet / ønsker ikke oppgi,3,5,Oslo,"in-house, privat sektor",backend,1000000,Nei
kvinne,5,5,Oslo,"in-house, privat sektor",backend,1200000,Ja
mann,3,5,Oslo,"in-house, offentlig/kommunal sektor",backend,670000,Nei
mann,5,5,Oslo,konsulent,backend,700000,Ja
mann,3,5,Oslo,"in-house, offentlig/kommunal sektor",backend,708000,Nei
mann,5,5,Oslo,konsulent,backend,796000,Nei
mann,4,5,Oslo,konsulent,backend,825000,Nei
mann,3,5,Oslo,"in-house, privat sektor",backend,840000,Nei
mann,3,5,Oslo,"in-house, privat sektor",backend,840000,Nei
mann,5,5,Oslo,"in-house, privat sektor",backend,850000,Nei
mann,3,5,Oslo,"in-house, privat sektor",backend,850000,Nei
mann,5,5,Oslo,konsulent,backend,890000,Ja
mann,3,5,Oslo,konsulent,backend,900000,Ja
mann,3,5,Oslo,"in-house, privat sektor",backend,900000,Ja
mann,5,5,Oslo,frilans / selvstendig næringsdrivende,backend,910000,Nei
mann,3,5,Oslo,konsulent,backend,915000,Ja
mann,5,5,Oslo,konsulent,backend,925000,Nei
mann,18,5,Oslo,konsulent,backend,925000,Nei
mann,5,5,Oslo,"in-house, privat sektor",backend,927000,Nei
mann,5,5,Oslo,konsulent,backend,930000,Nei
mann,5,5,Oslo,konsulent,backend,950000,Ja
mann,5,5,Oslo,"in-house, offentlig/kommunal sektor",backend,950000,Nei
mann,4,5,Oslo,"in-house, privat sektor",backend,1100000,Ja
mann,5,5,Oslo,konsulent,backend,1200000,Ja
mann,3,5,Oslo,frilans / selvstendig næringsdrivende,backend,1600000,Ja
kvinne,5,4,Oslo,konsulent,backend,767000,Nei
kvinne,5,4,Oslo,konsulent,backend,850000,Ja
kvinne,5,4,Oslo,konsulent,backend,860000,Ja
kvinne,5,4,Oslo,konsulent,backend,900000,Nei
kvinne,3,4,Oslo,konsulent,backend,945000,Ja
mann,3,4,Oslo,"in-house, privat sektor",backend,730000,Nei
mann,3,4,Oslo,"in-house, offentlig/kommunal sektor",backend,732300,Nei
mann,5,4,Oslo,konsulent,backend,790000,Ja
mann,3,4,Oslo,"in-house, privat sektor",backend,800000,Nei
mann,3,4,Oslo,"in-house, privat sektor",backend,800000,Ja
mann,0,4,Oslo,konsulent,backend,834000,Ja
mann,3,4,Oslo,konsulent,backend,850000,Ja
mann,5,4,Oslo,"in-house, privat sektor",backend,850000,Nei
mann,5,4,Oslo,"in-house, privat sektor",backend,870000,Ja
mann,3,4,Oslo,konsulent,backend,890000,Ja
mann,3,4,Oslo,"in-house, offentlig/kommunal sektor",backend,897000,Nei
mann,5,4,Oslo,"in-house, privat sektor",backend,920000,Nei
mann,5,4,Oslo,"in-house, privat sektor",backend,921106,Ja
mann,3,4,Oslo,"in-house, privat sektor",backend,950000,Ja
mann,6,4,Oslo,"in-house, privat sektor",backend,980000,Ja
mann,2,4,Oslo,konsulent,backend,1000000,Ja
mann,5,4,Oslo,konsulent,backend,1080000,Ja
mann,5,4,Oslo,"in-house, offentlig/kommunal sektor",backend,1200000,Nei
kvinne,3,3,Oslo,konsulent,backend,635000,Nei
kvinne,3,3,Oslo,"in-house, offentlig/kommunal sektor",backend,675000,Nei
kvinne,5,3,Oslo,"in-house, offentlig/kommunal sektor",backend,726000,Nei
kvinne,5,3,Oslo,"in-house, offentlig/kommunal sektor",backend,740000,Nei
kvinne,3,3,Oslo,"in-house, offentlig/kommunal sektor",backend,745000,Nei
kvinne,3,3,Oslo,"in-house, privat sektor",backend,800000,Nei
mann,3,3,Oslo,konsulent,backend,600000,Nei
mann,4,3,Oslo,"in-house, offentlig/kommunal sektor",backend,624000,Nei
mann,5,3,Oslo,konsulent,backend,660000,Nei
mann,3,3,Oslo,"in-house, privat sektor",backend,664000,Nei
mann,3,3,Oslo,"in-house, privat sektor",backend,680000,Nei
mann,5,3,Oslo,"in-house, privat sektor",backend,700000,Nei
mann,3,3,Oslo,"in-house, offentlig/kommunal sektor",backend,700000,Nei
mann,4,3,Oslo,"in-house, offentlig/kommunal sektor",backend,700000,Nei
mann,3,3,Oslo,konsulent,backend,720000,Nei
mann,0,3,Oslo,"in-house, privat sektor",backend,720000,Ja
mann,3,3,Oslo,"in-house, offentlig/kommunal sektor",backend,720000,Nei
mann,3,3,Oslo,"in-house, privat sektor",backend,740000,Nei
mann,5,3,Oslo,konsulent,backend,754000,Nei
mann,2,3,Oslo,konsulent,backend,766000,Nei
mann,5,3,Oslo,"in-house, privat sektor",backend,780000,Nei
mann,3,3,Oslo,"in-house, privat sektor",backend,800000,Nei
mann,5,3,Oslo,konsulent,backend,800000,Ja
mann,3,3,Oslo,konsulent,backend,817000,Nei
mann,3,3,Oslo,konsulent,backend,820000,Nei
mann,5,3,Oslo,konsulent,backend,850000,Nei
mann,5,3,Oslo,konsulent,backend,870000,Nei
mann,5,3,Oslo,konsulent,backend,880000,Ja
mann,5,3,Oslo,"in-house, privat sektor",backend,880000,Nei
mann,5,3,Oslo,konsulent,backend,925000,Nei
mann,5,3,Oslo,konsulent,backend,1000000,Nei
kvinne,3,2,Oslo,"in-house, privat sektor",backend,670000,Nei
kvinne,3,2,Oslo,konsulent,backend,695000,Nei
kvinne,1,2,Oslo,"in-house, privat sektor",backend,700000,Nei
kvinne,5,2,Oslo,"in-house, offentlig/kommunal sektor",backend,730000,Nei
kvinne,5,2,Oslo,"in-house, privat sektor",backend,735000,Nei
kvinne,5,2,Oslo,"in-house, privat sektor",backend,775000,Nei
kvinne,5,2,Oslo,"in-house, privat sektor",backend,850000,Ja
mann,4,2,Oslo,"in-house, privat sektor",backend,550000,Nei
mann,3,2,Oslo,"in-house, offentlig/kommunal sektor",backend,590000,Nei
mann,3,2,Oslo,"in-house, offentlig/kommunal sektor",backend,600000,Nei
mann,3,2,Oslo,"in-house, privat sektor",backend,600000,Nei
mann,5,2,Oslo,konsulent,backend,620000,Nei
mann,3,2,Oslo,"in-house, privat sektor",backend,630000,Ja
mann,3,2,Oslo,konsulent,backend,630000,Ja
mann,3,2,Oslo,"in-house, privat sektor",backend,660000,Nei
mann,6,2,Oslo,konsulent,backend,670000,Nei
mann,3,2,Oslo,"in-house, privat sektor",backend,700000,Nei
mann,6,2,Oslo,konsulent,backend,700000,Ja
mann,5,2,Oslo,konsulent,backend,705000,Nei
mann,3,2,Oslo,"in-house, offentlig/kommunal sektor",backend,708000,Nei
mann,3,2,Oslo,"in-house, offentlig/kommunal sektor",backend,710000,Nei
mann,3,2,Oslo,konsulent,backend,724000,Ja
mann,3,2,Oslo,konsulent,backend,725000,Nei
mann,5,2,Oslo,konsulent,backend,735000,Ja
mann,5,2,Oslo,konsulent,backend,750000,Nei
mann,5,2,Oslo,konsulent,backend,755000,Nei
mann,4,2,Oslo,"in-house, privat sektor",backend,765000,Nei
mann,5,2,Oslo,konsulent,backend,765000,Nei
mann,5,2,Oslo,konsulent,backend,770000,Nei
mann,3,2,Oslo,konsulent,backend,775000,Ja
mann,5,2,Oslo,konsulent,backend,780000,Nei
mann,5,2,Oslo,konsulent,backend,800000,Nei
mann,5,2,Oslo,"in-house, privat sektor",backend,800000,Nei
mann,5,2,Oslo,"in-house, offentlig/kommunal sektor",backend,820000,Nei
mann,7,2,Oslo,"in-house, privat sektor",backend,850000,Nei
mann,5,2,Oslo,"in-house, privat sektor",backend,858000,Nei
mann,3,2,Oslo,"in-house, privat sektor",backend,880000,Ja
mann,5,2,Oslo,konsulent,backend,980000,Nei
kvinne,2,1,Oslo,"in-house, privat sektor",backend,437000,Nei
kvinne,3,1,Oslo,konsulent,backend,550000,Ja
kvinne,3,1,Oslo,"in-house, offentlig/kommunal sektor",backend,630000,Nei
kvinne,5,1,Oslo,konsulent,backend,650000,Nei
mann,3,1,Oslo,"in-house, privat sektor",backend,429000,Nei
mann,3,1,Oslo,konsulent,backend,550000,Nei
mann,6,1,Oslo,konsulent,backend,560000,Ja
mann,3,1,Oslo,"in-house, offentlig/kommunal sektor",backend,575000,Nei
mann,3,1,Oslo,konsulent,backend,585000,Nei
mann,5,1,Oslo,konsulent,backend,592000,Ja
mann,3,1,Oslo,"in-house, privat sektor",backend,600000,Nei
mann,3,1,Oslo,konsulent,backend,600000,Nei
mann,3,1,Oslo,konsulent,backend,610000,Nei
mann,3,1,Oslo,"in-house, privat sektor",backend,610000,Ja
mann,3,1,Oslo,konsulent,backend,620000,Ja
mann,5,1,Oslo,konsulent,backend,630000,Nei
mann,3,1,Oslo,konsulent,backend,635000,Nei
mann,5,1,Oslo,konsulent,backend,650000,Nei
mann,5,1,Oslo,konsulent,backend,670000,Ja
mann,3,1,Oslo,"in-house, offentlig/kommunal sektor",backend,700000,Nei
mann,5,1,Oslo,"in-house, offentlig/kommunal sektor",backend,710000,Nei
mann,3,0,Oslo,konsulent,backend,550000,Ja
mann,3,0,Oslo,konsulent,backend,550000,Ja
mann,3,0,Oslo,"in-house, offentlig/kommunal sektor",backend,580000,Nei
mann,3,0,Oslo,"in-house, offentlig/kommunal sektor",backend,600000,Nei
mann,5,0,Oslo,konsulent,backend,600000,Ja
mann,5,0,Oslo,konsulent,backend,620000,Nei
mann,3,0,Oslo,"in-house, offentlig/kommunal sektor",backend,630000,Nei
mann,5,0,Oslo,konsulent,backend,630000,Nei
mann,5,0,Oslo,konsulent,backend,630000,Nei
mann,3,0,Oslo,konsulent,backend,650000,Ja
mann,5,0,Oslo,konsulent,backend,650000,Nei
mann,5,0,Oslo,konsulent,backend,660000,Ja
mann,5,0,Oslo,konsulent,backend,670000,Nei
mann,5,0,Oslo,"in-house, privat sektor",backend,730125,Nei
mann,4,36,Rogaland,"in-house, privat sektor",backend,1092000,Nei
mann,17,32,Rogaland,"in-house, privat sektor",backend,1100000,Ja
mann,4,24,Rogaland,"in-house, privat sektor",backend,1010000,Nei
mann,3,23,Rogaland,konsulent,backend,680000,Nei
mann,5,23,Rogaland,"in-house, offentlig/kommunal sektor",backend,1200000,Nei
kvinne,4,20,Rogaland,"in-house, privat sektor",backend,1150000,Nei
mann,5,18,Rogaland,konsulent,backend,853000,Nei
mann,5,13,Rogaland,konsulent,backend,1150000,Ja
mann,5,12,Rogaland,"in-house, privat sektor",backend,1060000,Nei
mann,5,12,Rogaland,"in-house, privat sektor",backend,1087350,Ja
mann,5,12,Rogaland,konsulent,backend,1450000,Nei
kvinne,5,11,Rogaland,konsulent,backend,1200000,Nei
mann,18,11,Rogaland,"in-house, privat sektor",backend,1100000,Ja
mann,5,8,Rogaland,"in-house, offentlig/kommunal sektor",backend,990000,Nei
mann,4,8,Rogaland,konsulent,backend,1050000,Ja
mann,3,6,Rogaland,"in-house, privat sektor",backend,900000,Nei
mann,5,6,Rogaland,"in-house, privat sektor",backend,1000000,Nei
mann,4,5,Rogaland,konsulent,backend,800000,Ja
mann,5,5,Rogaland,konsulent,backend,815000,Ja
mann,0,4,Rogaland,"in-house, privat sektor",backend,650000,Nei
mann,5,4,Rogaland,konsulent,backend,885000,Nei
mann,3,3,Rogaland,konsulent,backend,844000,Ja
mann,3,2,Rogaland,"in-house, offentlig/kommunal sektor",backend,570000,Nei
mann,3,2,Rogaland,konsulent,backend,650000,Nei
mann,5,1,Rogaland,konsulent,backend,550000,Nei
mann,3,18,Troms og Finnmark,"in-house, offentlig/kommunal sektor",backend,730000,Nei
mann,3,7,Troms og Finnmark,"in-house, privat sektor",backend,860000,Ja
mann,3,7,Troms og Finnmark,"in-house, privat sektor",backend,870000,Ja
mann,6,3,Troms og Finnmark,"in-house, privat sektor",backend,660000,Nei
mann,3,2,Troms og Finnmark,"in-house, offentlig/kommunal sektor",backend,720000,Nei
mann,0,0,Troms og Finnmark,"in-house, offentlig/kommunal sektor",backend,584500,Nei
mann,3,20,Trøndelag,konsulent,backend,936000,Nei
mann,15,18,Trøndelag,"in-house, privat sektor",backend,880000,Nei
mann,17,15,Trøndelag,"in-house, offentlig/kommunal sektor",backend,920000,Nei
mann,4,15,Trøndelag,"in-house, privat sektor",backend,1100000,Ja
mann,3,14,Trøndelag,"in-house, privat sektor",backend,875000,Nei
mann,5,13,Trøndelag,"in-house, offentlig/kommunal sektor",backend,881000,Nei
mann,5,12,Trøndelag,konsulent,backend,1100000,Ja
mann,5,12,Trøndelag,konsulent,backend,1400000,Nei
mann,3,11,Trøndelag,konsulent,backend,950000,Ja
mann,3,10,Trøndelag,"in-house, privat sektor",backend,630000,Ja
mann,5,9,Trøndelag,konsulent,backend,900000,Nei
mann,5,8,Trøndelag,konsulent,backend,1000000,Ja
mann,5,8,Trøndelag,konsulent,backend,1100000,Nei
mann,5,7,Trøndelag,"in-house, privat sektor",backend,870000,Nei
mann,6,7,Trøndelag,konsulent,backend,1100000,Ja
mann,3,7,Trøndelag,konsulent,backend,1200000,Ja
mann,0,5,Trøndelag,"in-house, privat sektor",backend,580000,Nei
mann,3,4,Trøndelag,konsulent,backend,727000,Ja
mann,5,4,Trøndelag,konsulent,backend,790000,Nei
mann,5,4,Trøndelag,"in-house, privat sektor",backend,800000,Nei
mann,5,4,Trøndelag,konsulent,backend,830000,Ja
mann,5,4,Trøndelag,konsulent,backend,850000,Nei
mann,5,4,Trøndelag,"in-house, privat sektor",backend,850000,Ja
mann,5,3,Trøndelag,konsulent,backend,700000,Nei
mann,3,3,Trøndelag,konsulent,backend,701829,Ja
mann,3,3,Trøndelag,konsulent,backend,730000,Ja
mann,3,3,Trøndelag,"in-house, privat sektor",backend,750000,Nei
mann,3,2,Trøndelag,konsulent,backend,615000,Nei
mann,5,1,Trøndelag,konsulent,backend,665000,Ja
mann,4,0,utlandet,"in-house, offentlig/kommunal sektor",backend,700000,Nei
mann,3,28,Vestfold og Telemark,"in-house, privat sektor",backend,1100000,Nei
mann,0,25,Vestfold og Telemark,"in-house, privat sektor",backend,800000,Nei
mann,15,24,Vestfold og Telemark,"in-house, privat sektor",backend,970000,Ja
mann,3,22,Vestfold og Telemark,"in-house, privat sektor",backend,1000000,Ja
mann,5,21,Vestfold og Telemark,"in-house, privat sektor",backend,1700000,Ja
mann,4,20,Vestfold og Telemark,"in-house, privat sektor",backend,1200000,Nei
mann,5,14,Vestfold og Telemark,"in-house, privat sektor",backend,894000,Nei
mann,3,12,Vestfold og Telemark,"in-house, privat sektor",backend,1050000,Nei
mann,3,10,Vestfold og Telemark,"in-house, privat sektor",backend,857000,Nei
mann,4,7,Vestfold og Telemark,konsulent,backend,865000,Ja
mann,3,6,Vestfold og Telemark,"in-house, privat sektor",backend,630000,Nei
mann,3,6,Vestfold og Telemark,konsulent,backend,740000,Ja
mann,3,6,Vestfold og Telemark,"in-house, offentlig/kommunal sektor",backend,740000,Nei
mann,3,6,Vestfold og Telemark,konsulent,backend,1150000,Ja
mann,3,4,Vestfold og Telemark,"in-house, privat sektor",backend,750000,Nei
mann,2,3,Vestfold og Telemark,"in-house, privat sektor",backend,600000,Nei
mann,3,3,Vestfold og Telemark,"in-house, privat sektor",backend,650000,Nei
mann,3,3,Vestfold og Telemark,konsulent,backend,695000,Nei
mann,3,3,Vestfold og Telemark,"in-house, privat sektor",backend,704000,Nei
mann,2,3,Vestfold og Telemark,"in-house, privat sektor",backend,797000,Nei
mann,1,1,Vestfold og Telemark,"in-house, privat sektor",backend,560000,Nei
mann,2,1,Vestfold og Telemark,"in-house, privat sektor",backend,575000,Nei
mann,6,0,Vestfold og Telemark,konsulent,backend,640000,Ja
mann,5,40,Vestland,"in-house, offentlig/kommunal sektor",backend,715000,Nei
mann,5,40,Vestland,konsulent,backend,1100000,Nei
mann,3,23,Vestland,"in-house, privat sektor",backend,818193,Nei
mann,3,22,Vestland,"in-house, privat sektor",backend,975000,Nei
mann,17,22,Vestland,konsulent,backend,1280000,Ja
mann,4,21,Vestland,"in-house, privat sektor",backend,1080000,Nei
mann,6,20,Vestland,konsulent,backend,1250000,Ja
mann,7,20,Vestland,konsulent,backend,1400000,Nei
mann,5,18,Vestland,konsulent,backend,1148000,Ja
mann,4,18,Vestland,konsulent,backend,1150000,Ja
kvinne,5,17,Vestland,"in-house, privat sektor",backend,1017500,Nei
mann,13,17,Vestland,"in-house, privat sektor",backend,850000,Nei
mann,3,16,Vestland,"in-house, privat sektor",backend,780000,Nei
mann,3,16,Vestland,konsulent,backend,880000,Nei
mann,4,16,Vestland,"in-house, privat sektor",backend,903000,Nei
mann,3,16,Vestland,"in-house, privat sektor",backend,1078329,Nei
mann,3,15,Vestland,"in-house, privat sektor",backend,958000,Nei
mann,3,14,Vestland,"in-house, privat sektor",backend,830000,Nei
mann,5,14,Vestland,"in-house, privat sektor",backend,1155000,Nei
mann,3,14,Vestland,"in-house, privat sektor",backend,1200000,Nei
mann,3,12,Vestland,"in-house, privat sektor",backend,970000,Nei
mann,5,9,Vestland,"in-house, privat sektor",backend,930000,Nei
mann,5,9,Vestland,"in-house, privat sektor",backend,1000000,Ja
mann,3,9,Vestland,"in-house, privat sektor",backend,1100000,Nei
mann,5,9,Vestland,konsulent,backend,1105000,Ja
mann,3,8,Vestland,konsulent,backend,1200000,Nei
mann,5,7,Vestland,"in-house, offentlig/kommunal sektor",backend,735200,Nei
mann,5,7,Vestland,"in-house, privat sektor",backend,750000,Ja
mann,5,7,Vestland,konsulent,backend,800000,Ja
mann,4,7,Vestland,konsulent,backend,800000,Ja
mann,3,7,Vestland,konsulent,backend,1030000,Nei
kvinne,7,5,Vestland,konsulent,backend,670000,Ja
kvinne,3,5,Vestland,"in-house, privat sektor",backend,785000,Nei
mann,5,5,Vestland,konsulent,backend,750000,Ja
mann,5,5,Vestland,konsulent,backend,1100000,Nei
mann,3,4,Vestland,"in-house, privat sektor",backend,720000,Nei
mann,3,4,Vestland,"in-house, privat sektor",backend,780000,Nei
mann,5,4,Vestland,konsulent,backend,800000,Nei
mann,5,4,Vestland,konsulent,backend,1140000,Nei
kvinne,5,3,Vestland,"in-house, offentlig/kommunal sektor",backend,720000,Nei
mann,3,3,Vestland,"in-house, privat sektor",backend,640000,Nei
mann,5,3,Vestland,"in-house, privat sektor",backend,645000,Nei
mann,3,3,Vestland,konsulent,backend,750000,Ja
mann,5,3,Vestland,konsulent,backend,770000,Ja
mann,3,3,Vestland,"in-house, privat sektor",backend,785000,Ja
mann,5,3,Vestland,konsulent,backend,800000,Ja
mann,6,3,Vestland,konsulent,backend,1200000,Nei
kvinne,5,2,Vestland,"in-house, offentlig/kommunal sektor",backend,700000,Nei
kvinne,5,2,Vestland,"in-house, offentlig/kommunal sektor",backend,820000,Nei
mann,7,2,Vestland,"in-house, offentlig/kommunal sektor",backend,630000,Nei
mann,3,2,Vestland,konsulent,backend,635000,Nei
mann,3,2,Vestland,"in-house, privat sektor",backend,673000,Nei
mann,5,2,Vestland,"in-house, privat sektor",backend,680000,Nei
mann,3,2,Vestland,"in-house, privat sektor",backend,701000,Ja
mann,5,2,Vestland,konsulent,backend,730000,Nei
mann,2,1,Vestland,"in-house, privat sektor",backend,480000,Ja
mann,3,1,Vestland,"in-house, privat sektor",backend,525000,Nei
mann,3,1,Vestland,"in-house, privat sektor",backend,530000,Nei
mann,3,1,Vestland,"in-house, privat sektor",backend,600000,Nei
mann,3,1,Vestland,konsulent,backend,605000,Nei
mann,3,1,Vestland,"in-house, privat sektor",backend,630000,Nei
mann,5,1,Vestland,konsulent,backend,650000,Ja
annet / ønsker ikke oppgi,3,0,Vestland,konsulent,backend,530000,Nei
mann,3,0,Vestland,konsulent,backend,530000,Nei
mann,3,0,Vestland,"in-house, privat sektor",backend,530000,Nei
mann,6,0,Vestland,"in-house, privat sektor",backend,530000,Nei
mann,3,0,Vestland,konsulent,backend,600000,Nei
mann,3,0,Vestland,"in-house, offentlig/kommunal sektor",backend,615000,Nei
mann,5,0,Vestland,"in-house, privat sektor",backend,786000,Nei
mann,17,29,Viken,"in-house, privat sektor",backend,1170000,Nei
mann,2,25,Viken,"in-house, privat sektor",backend,1000000,Nei
mann,4,25,Viken,konsulent,backend,1050000,Nei
mann,2,24,Viken,"in-house, privat sektor",backend,900000,Nei
mann,2,23,Viken,konsulent,backend,960000,Nei
mann,3,22,Viken,"in-house, privat sektor",backend,1100000,Nei
kvinne,4,19,Viken,konsulent,backend,1100000,Ja
mann,5,19,Viken,"in-house, privat sektor",backend,1450000,Ja
kvinne,5,18,Viken,"in-house, privat sektor",backend,996000,Ja
mann,5,18,Viken,"in-house, privat sektor",backend,1050000,Ja
mann,5,18,Viken,konsulent,backend,1250000,Nei
mann,3,16,Viken,konsulent,backend,1050000,Ja
mann,17,15,Viken,konsulent,backend,1170000,Ja
kvinne,3,14,Viken,konsulent,backend,1080000,Ja
mann,5,14,Viken,konsulent,backend,1300000,Nei
mann,3,14,Viken,frilans / selvstendig næringsdrivende,backend,2250000,Nei
kvinne,3,13,Viken,"in-house, privat sektor",backend,900000,Ja
mann,4,13,Viken,konsulent,backend,1000000,Ja
mann,6,12,Viken,"in-house, privat sektor",backend,987000,Nei
mann,5,11,Viken,konsulent,backend,1024000,Ja
kvinne,5,10,Viken,"in-house, privat sektor",backend,1040000,Ja
mann,3,10,Viken,"in-house, offentlig/kommunal sektor",backend,710000,Nei
mann,5,10,Viken,konsulent,backend,800000,Nei
mann,3,10,Viken,konsulent,backend,1000000,Ja
mann,5,8,Viken,"in-house, offentlig/kommunal sektor",backend,710000,Nei
mann,5,8,Viken,konsulent,backend,895000,Ja
mann,5,7,Viken,konsulent,backend,727000,Nei
mann,3,7,Viken,"in-house, privat sektor",backend,1087000,Ja
mann,5,6,Viken,konsulent,backend,890000,Nei
mann,3,6,Viken,konsulent,backend,900000,Ja
mann,3,6,Viken,"in-house, privat sektor",backend,1116600,Nei
mann,4,5,Viken,"in-house, privat sektor",backend,640000,Nei
mann,3,5,Viken,konsulent,backend,760000,Nei
mann,3,4,Viken,"in-house, privat sektor",backend,645000,Ja
mann,4,3,Viken,"in-house, privat sektor",backend,600000,Nei
mann,3,2,Viken,"in-house, privat sektor",backend,605000,Nei
mann,3,1,Viken,"in-house, privat sektor",backend,600000,Nei
mann,3,1,Viken,"in-house, privat sektor",backend,600000,Nei
mann,0,1,Viken,"in-house, privat sektor",backend,600000,Nei
mann,5,1,Viken,"in-house, privat sektor",backend,654400,Ja
mann,3,0,Viken,konsulent,backend,530000,Nei
